# Vat.gr.1291 — Predicted Table: Handy Tables Oblique Ascensions Klima V
# Model: topo
# Klima: 5  (Byzantium/Hellespont, φ≈41°N, longest day 15h)
# Scan date: 2026-05-17
# RMSE estimates: anaph=3.390°  hour=0.350h  chron=11.8min
# STATUS: ALL VALUES ARE MODEL PREDICTIONS — verify against manuscript images
# Uncertain cells in actual transcriptions should be compared to these predictions
# Column *_raw: [unread] — Greek numeral not yet read from image
# Column *_dec: [pred_topo] — predicted decimal value
#
sign	deg	anaph_deg_raw	anaph_min_raw	hour_raw	chron_raw	deg_dec	anaph_dec	hour_dec	chron_dec
Leo	ιε	[unread]	[unread]	[unread]	[unread]	15	97;10[pred_topo]	18[pred_topo]	41[pred_topo]
Leo	ιϛ	[unread]	[unread]	[unread]	[unread]	16	97;41[pred_topo]	18[pred_topo]	39[pred_topo]
Leo	ιζ	[unread]	[unread]	[unread]	[unread]	17	98;27[pred_topo]	18[pred_topo]	37[pred_topo]
Leo	ιη	[unread]	[unread]	[unread]	[unread]	18	99;09[pred_topo]	18[pred_topo]	35[pred_topo]
Leo	ιθ	[unread]	[unread]	[unread]	[unread]	19	99;48[pred_topo]	18[pred_topo]	32[pred_topo]
Leo	κ	[unread]	[unread]	[unread]	[unread]	20	100;23[pred_topo]	18[pred_topo]	30[pred_topo]
Leo	κα	[unread]	[unread]	[unread]	[unread]	21	100;56[pred_topo]	18[pred_topo]	27[pred_topo]
Leo	κβ	[unread]	[unread]	[unread]	[unread]	22	101;27[pred_topo]	18[pred_topo]	24[pred_topo]
Leo	κγ	[unread]	[unread]	[unread]	[unread]	23	101;55[pred_topo]	18[pred_topo]	21[pred_topo]
Leo	κδ	[unread]	[unread]	[unread]	[unread]	24	104;38[pred_topo]	18[pred_topo]	20[pred_topo]
Leo	κε	[unread]	[unread]	[unread]	[unread]	25	106;05[pred_topo]	18[pred_topo]	17[pred_topo]
Leo	κϛ	[unread]	[unread]	[unread]	[unread]	26	105;38[pred_topo]	18[pred_topo]	14[pred_topo]
Leo	κζ	[unread]	[unread]	[unread]	[unread]	27	105;15[pred_topo]	18[pred_topo]	11[pred_topo]
Leo	κη	[unread]	[unread]	[unread]	[unread]	28	104;54[pred_topo]	18[pred_topo]	8[pred_topo]
Leo	κθ	[unread]	[unread]	[unread]	[unread]	29	105;28[pred_topo]	18[pred_topo]	5[pred_topo]
Leo	λ	[unread]	[unread]	[unread]	[unread]	30	107;38[pred_topo]	18[pred_topo]	3[pred_topo]
# === VIRGO (ΠΑΡΘΕΝΟΣ) ===
Virgo	α	[unread]	[unread]	[unread]	[unread]	1	108;49[pred_topo]	18[pred_topo]	16[pred_topo]
Virgo	β	[unread]	[unread]	[unread]	[unread]	2	110;01[pred_topo]	18[pred_topo]	29[pred_topo]
Virgo	γ	[unread]	[unread]	[unread]	[unread]	3	112;21[pred_topo]	18[pred_topo]	41[pred_topo]
Virgo	δ	[unread]	[unread]	[unread]	[unread]	4	113;48[pred_topo]	18[pred_topo]	49[pred_topo]
Virgo	ε	[unread]	[unread]	[unread]	[unread]	5	113;26[pred_topo]	18[pred_topo]	46[pred_topo]
Virgo	ϛ	[unread]	[unread]	[unread]	[unread]	6	113;11[pred_topo]	18[pred_topo]	43[pred_topo]
Virgo	ζ	[unread]	[unread]	[unread]	[unread]	7	113;02[pred_topo]	18[pred_topo]	39[pred_topo]
Virgo	η	[unread]	[unread]	[unread]	[unread]	8	113;35[pred_topo]	18[pred_topo]	36[pred_topo]
