dataset,domain,n_samples,n_features,n_classes,accuracy,tdi_vr_h0,tdi_vr_h1,tdi_alpha_h0,tdi_alpha_h1,tdi_random_label,signal_ratio,input_entropy_h0,input_entropy_h1,input_knn_purity,final_knn_purity,purity_gain
fri_c1_1000_50,openml_catalog,1000,50,2,0.588,1946.0275641679764,409.4002384228115,1445.1392823457718,257.9447329800126,1925.1312561035156,0.9892620698446299,5.987916959793035,6.8027817548505745,0.5579999999999999,0.6125,0.054500000000000104
letter,openml_catalog,1813,16,2,0.986784140969163,516.7453238423836,62.5561563940063,406.0996792306218,47.34795013938698,241.4286982683691,0.4672102235452624,5.877047401338558,5.013147949186493,0.878,0.9189999999999999,0.040999999999999925
Touch2,openml_catalog,265,10,8,0.7761194029850746,237.9250170448867,33.41237782539268,237.9250170448867,33.41237782539268,281.2325457055486,1.182021752897433,5.321212232116546,4.406206785882828,0.6875471698113207,0.7313207547169812,0.04377358490566052
dataset_credit_risk_file_2,openml_catalog,4000,61,4,0.898,954.8231148269308,108.714772612542,766.9714933613602,72.4407644854967,723.3279329697395,0.7575517619311598,5.825790306121961,5.328891474518052,0.4665000000000001,0.6765000000000001,0.21000000000000002
parkinsons,openml_catalog,195,22,2,0.9591836734693877,184.72771226566158,24.842579969029792,184.72771226566158,24.842579969029792,130.36526263004362,0.7057157858511345,5.156815410591835,4.097998191491449,0.8861538461538462,0.916923076923077,0.03076923076923077
FOREX_audcad_hour_High,openml_catalog,2000,10,2,0.674,261.4078529726722,28.453289404840096,210.5309443781246,18.563171099066807,155.191349095916,0.5936751606010086,5.753001669737684,4.0264185255515645,0.5125,0.555,0.04250000000000009
Run_or_walk_information,openml_catalog,2000,6,2,0.944,309.0542815725188,25.736053895600506,238.60260865041965,23.797120607113044,265.5083268998844,0.8590993321591747,5.494703935008968,4.1971196690349615,0.795,0.8109999999999999,0.015999999999999903
heart_h,openml_catalog,294,13,5,0.6621621621621622,373.2957533207541,46.60211476782867,373.2957533207541,46.60211476782867,310.6418311025967,0.8321600991685484,5.4666109261594436,4.86553558422759,0.592517006802721,0.6,0.007482993197278964
phoneme_seed_0_nrows_2000_nclass,openml_catalog,2000,5,2,0.868,378.6720383584865,43.27195168582742,301.2506353181061,40.83785003849481,290.72705520614454,0.7677542193673013,5.861226663567623,4.6576466438912245,0.7425,0.7475,0.0050000000000000044
blood_transfusion_service_center,openml_catalog,748,4,2,0.8074866310160428,190.34772731302948,29.927229261984838,155.01485639346618,20.745396489606602,204.27393225421127,1.0731619186515422,5.38222466157189,4.408544160190537,0.6925,0.6919999999999998,-0.000500000000000167
electricity_seed_2_nrows_2000_nc,openml_catalog,2000,7,2,0.748,380.72234037604903,59.41534934408396,342.97284075773575,44.204226445940805,315.9263837537177,0.8298078422234673,5.818447999945937,4.952210264258174,0.693,0.69,-0.0030000000000000027
dilbert_seed_2_nrows_2000_nclass,openml_catalog,2000,100,5,0.872,2136.5711710317246,126.53941139033105,1654.836688625044,96.07719234649673,1637.9689277913237,0.7666343859729082,5.965579055876049,5.044532557037996,0.5630000000000001,0.715,0.1519999999999999
credit_g_copy,openml_catalog,1000,7,2,0.688,358.5506145917585,77.91305266179701,283.75729474896684,64.85090943637847,379.82738159243,1.059341041779825,5.823402472794014,5.412423217043505,0.62,0.6285,0.008499999999999952
cholesterol,openml_catalog,303,6,2,0.5526315789473685,412.05250965576056,57.12899224021728,405.6045247633556,56.72958605707833,427.5860005756266,1.0376978432502282,5.591789375322934,4.876982251695002,0.5128712871287128,0.502970297029703,-0.009900990099009799
timing_attack_dataset_4_micro_se,openml_catalog,9993,124,11,0.08803521408563425,223.60491625036084,37.736825110235614,170.22923580116745,31.535442165709362,243.25738333040124,1.087889244161503,5.822141702539643,5.010667846322765,0.09449999999999999,0.102,0.007500000000000007
SDSS17,openml_catalog,3000,9,3,0.9413333333333334,360.2827072720627,87.2536487619136,295.12358147775706,66.92889791246895,410.04659930594914,1.1381245644862659,5.93232166401768,5.218604976096905,0.6805,0.7515000000000001,0.07100000000000006
total_score,openml_catalog,719,10,4,0.6111111111111112,454.4250496234438,53.12077883315084,340.7721187363326,34.50258536975264,450.45597359653004,0.9912657191098891,5.583715342379994,5.214204842831009,0.544,0.5525,0.008499999999999952
Give_Me_Some_Credit_Sampled_Prep,openml_catalog,2000,10,2,0.69,294.5632085643764,48.40178117524151,230.70564612244885,40.49241603974855,274.8353548662858,0.9330267558048442,5.63959969981966,5.08621002901878,0.5345,0.5265,-0.008000000000000007
kdd_ipums_la_97_small_seed_1_nro,openml_catalog,2000,20,2,0.832,281.46348614201264,36.67682340636405,204.6835073063363,28.21550157701303,245.79330250942002,0.8732688771765045,5.805512243088164,4.793068775741995,0.741,0.7585000000000001,0.01750000000000007
user_knowledge,openml_catalog,403,5,5,0.900990099009901,637.8764681967704,140.68907324044648,516.2034105339816,104.27521366860597,518.7828886340317,0.8132967972632579,5.942483436497056,5.316576439993237,0.7165,0.8005,0.08399999999999996
FOREX_audsgd_day_Close,openml_catalog,1832,10,2,0.4978165938864629,197.98678538926603,17.80642199298148,154.38577800547318,14.766091203216812,214.59612077842303,1.0838911312010093,5.8104696025761315,3.927711713118249,0.48950000000000005,0.49700000000000005,0.007500000000000007
